,trial,opinion,activated,algorithm,seed_size,algorithm time
0,0,499.98283127423093,13,OpinionDeg,1,0.1655871868133545
1,0,499.98283127423093,1,Min-Opinion,1,0.0003039836883544922
2,0,500.99798975164987,2,Random,1,0.00011682510375976562
3,0,581.1061485627779,157,OpinionDeg,50,0.19052720069885254
4,0,585.5807616527537,56,Min-Opinion,50,0.00028395652770996094
5,0,602.086699716376,81,Random,50,8.487701416015625e-05
6,0,629.5873007220771,249,OpinionDeg,100,0.21191787719726562
7,0,641.5950825125365,111,Min-Opinion,100,0.00029015541076660156
8,0,665.6053351265584,132,Random,100,0.0001747608184814453
9,1,505.4250570868373,15,OpinionDeg,1,0.165421724319458
10,1,505.4250570868373,1,Min-Opinion,1,0.0003001689910888672
11,1,505.4250570868373,1,Random,1,3.0994415283203125e-05
12,1,597.4309803116512,171,OpinionDeg,50,0.19527196884155273
13,1,607.0258832450809,66,Min-Opinion,50,0.0003535747528076172
14,1,612.549777926535,60,Random,50,7.081031799316406e-05
15,1,652.6503243429022,287,OpinionDeg,100,0.21972918510437012
16,1,654.7981115801025,104,Min-Opinion,100,0.0003418922424316406
17,1,673.8499718029042,125,Random,100,0.00011372566223144531
18,2,504.30529231256685,9,OpinionDeg,1,0.1627950668334961
19,2,504.30529231256685,1,Min-Opinion,1,0.0002810955047607422
20,2,504.30529231256685,1,Random,1,3.123283386230469e-05
21,2,579.5169318401768,144,OpinionDeg,50,0.19193315505981445
22,2,587.9265209184897,63,Min-Opinion,50,0.00028324127197265625
23,2,598.4544203382184,65,Random,50,6.794929504394531e-05
24,2,639.9294878854627,246,OpinionDeg,100,0.20746207237243652
25,2,647.0211746580133,106,Min-Opinion,100,0.00028896331787109375
26,2,678.7310191987426,155,Random,100,0.00011420249938964844
27,3,497.10485162919986,6,OpinionDeg,1,0.15944290161132812
28,3,497.10485162919986,1,Min-Opinion,1,0.0002961158752441406
29,3,497.10485162919986,1,Random,1,3.0040740966796875e-05
30,3,574.5436145617498,152,OpinionDeg,50,0.18938899040222168
31,3,582.2270058946624,56,Min-Opinion,50,0.0003190040588378906
32,3,597.64011411669,77,Random,50,8.702278137207031e-05
33,3,634.4281124376766,258,OpinionDeg,100,0.21074604988098145
34,3,641.45966291375,108,Min-Opinion,100,0.00028896331787109375
35,3,659.3466226641176,125,Random,100,0.00011205673217773438
36,4,505.7688390725958,13,OpinionDeg,1,0.16772675514221191
37,4,505.7688390725958,1,Min-Opinion,1,0.0004277229309082031
38,4,505.7688390725958,1,Random,1,3.409385681152344e-05
39,4,569.017706808718,146,OpinionDeg,50,0.20525527000427246
40,4,569.9649456805502,52,Min-Opinion,50,0.00028204917907714844
41,4,581.8830588809597,77,Random,50,7.295608520507812e-05
42,4,632.4544688908067,241,OpinionDeg,100,0.2194676399230957
43,4,635.8415565305925,103,Min-Opinion,100,0.0002880096435546875
44,4,659.763184423555,138,Random,100,0.00010991096496582031
45,5,508.622823173736,2,OpinionDeg,1,0.17306089401245117
46,5,510.7376513577885,4,Min-Opinion,1,0.00034499168395996094
47,5,510.7376513577885,1,Random,1,3.719329833984375e-05
48,5,591.9987858854785,165,OpinionDeg,50,0.19599485397338867
49,5,593.1138270225338,53,Min-Opinion,50,0.00028395652770996094
50,5,610.6810778111795,73,Random,50,6.794929504394531e-05
51,5,647.7969511663066,253,OpinionDeg,100,0.21133899688720703
52,5,668.9120721057625,121,Min-Opinion,100,0.0002880096435546875
53,5,688.448289403761,136,Random,100,0.00011610984802246094
54,6,508.38092298999953,5,OpinionDeg,1,0.16134095191955566
55,6,508.38092298999953,1,Min-Opinion,1,0.0003058910369873047
56,6,508.38092298999953,1,Random,1,3.2901763916015625e-05
57,6,593.302239026712,174,OpinionDeg,50,0.18967604637145996
58,6,605.8704100746104,61,Min-Opinion,50,0.00028395652770996094
59,6,623.4243554578753,74,Random,50,7.081031799316406e-05
60,6,653.3395140725072,261,OpinionDeg,100,0.20628619194030762
61,6,659.4185649891743,108,Min-Opinion,100,0.00028705596923828125
62,6,672.8158018918368,123,Random,100,0.0002720355987548828
63,7,518.0833632514372,25,OpinionDeg,1,0.16641807556152344
64,7,518.0833632514372,1,Min-Opinion,1,0.0002789497375488281
65,7,518.0833632514372,1,Random,1,3.0040740966796875e-05
66,7,601.2222185801322,174,OpinionDeg,50,0.1900489330291748
67,7,617.271434601288,63,Min-Opinion,50,0.0002830028533935547
68,7,625.126035819907,69,Random,50,6.914138793945312e-05
69,7,634.2166712468196,237,OpinionDeg,100,0.20876288414001465
70,7,638.7705247419799,105,Min-Opinion,100,0.0003249645233154297
71,7,668.5735149569616,153,Random,100,0.00011610984802246094
72,8,511.31965567958434,15,OpinionDeg,1,0.16985177993774414
73,8,511.31965567958434,1,Min-Opinion,1,0.0003609657287597656
74,8,511.31965567958434,1,Random,1,3.5762786865234375e-05
75,8,579.8928586709504,149,OpinionDeg,50,0.19881010055541992
76,8,582.4311578261675,54,Min-Opinion,50,0.00028705596923828125
77,8,591.2270258391753,70,Random,50,6.794929504394531e-05
78,8,638.4044541513864,233,OpinionDeg,100,0.21361207962036133
79,8,643.5176344429615,106,Min-Opinion,100,0.0002930164337158203
80,8,666.8102014172698,129,Random,100,0.00011491775512695312
81,9,508.89017385743983,8,OpinionDeg,1,0.15992188453674316
82,9,510.4644645235366,2,Min-Opinion,1,0.0002830028533935547
83,9,510.4644645235366,1,Random,1,3.1948089599609375e-05
84,9,590.3758575468096,162,OpinionDeg,50,0.19889116287231445
85,9,596.61269210034,58,Min-Opinion,50,0.0002849102020263672
86,9,613.7560384713532,82,Random,50,7.009506225585938e-05
87,9,650.8150114450323,260,OpinionDeg,100,0.21488285064697266
88,9,659.9850131720096,107,Min-Opinion,100,0.00028896331787109375
89,9,688.053430225302,154,Random,100,0.00011110305786132812
