,trial,opinion,activated,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,167461.93472006512,1,random_solution,1,0.0038399696350097656,uniform,random,False
1,1,167509.8682198873,1,random_solution,1,0.004062175750732422,uniform,random,False
2,0,167558.4432880362,201,random_solution,100,0.004206657409667969,uniform,random,False
3,1,167608.02187564605,203,random_solution,100,0.004045963287353516,uniform,random,False
4,0,167698.2124390709,471,random_solution,200,0.004030942916870117,uniform,random,False
5,1,167349.9264700581,373,random_solution,200,0.004353046417236328,uniform,random,False
6,0,167766.9394056596,605,random_solution,300,0.0038518905639648438,uniform,random,False
7,1,167789.85698742577,601,random_solution,300,0.004158973693847656,uniform,random,False
8,0,167861.42862269236,835,random_solution,400,0.004017829895019531,uniform,random,False
9,1,167836.7669323814,770,random_solution,400,0.0042572021484375,uniform,random,False
10,0,167976.94677156073,1017,random_solution,500,0.00417017936706543,uniform,random,False
11,1,167635.63050110778,921,random_solution,500,0.004333019256591797,uniform,random,False
12,0,168040.1312334357,1159,random_solution,600,0.004575014114379883,uniform,random,False
13,1,168024.99680816208,1164,random_solution,600,0.0042209625244140625,uniform,random,False
14,0,168133.56910801344,1345,random_solution,700,0.005107879638671875,uniform,random,False
15,1,168045.63649959356,1268,random_solution,700,0.00580906867980957,uniform,random,False
16,0,168288.5136108154,1668,random_solution,800,0.005026817321777344,uniform,random,False
17,1,168138.3851776159,1627,random_solution,800,0.005034923553466797,uniform,random,False
18,0,168331.21786189836,1733,random_solution,900,0.004849910736083984,uniform,random,False
19,1,168168.90615866732,1692,random_solution,900,0.004523038864135742,uniform,random,False
20,0,168442.57419845412,1959,random_solution,1000,0.004972934722900391,uniform,random,False
21,1,168246.94418026123,1898,random_solution,1000,0.0049326419830322266,uniform,random,False
0,0,167534.82971797284,3,random_solution,1,0.0038170814514160156,uniform,random,True
1,1,167689.0193747369,1,random_solution,1,0.003453969955444336,uniform,random,True
2,0,167631.66158399876,201,random_solution,100,0.004431724548339844,uniform,random,True
3,1,167178.36977711512,216,random_solution,100,0.0038611888885498047,uniform,random,True
4,0,167731.4308016862,386,random_solution,200,0.003969907760620117,uniform,random,True
5,1,167683.70730683522,418,random_solution,200,0.004105091094970703,uniform,random,True
6,0,167817.40937204397,555,random_solution,300,0.004942178726196289,uniform,random,True
7,1,167795.94309450127,610,random_solution,300,0.004274129867553711,uniform,random,True
8,0,167912.29907982115,736,random_solution,400,0.005258083343505859,uniform,random,True
9,1,167541.11463131057,703,random_solution,400,0.004517078399658203,uniform,random,True
10,0,168037.85608104462,1014,random_solution,500,0.004378080368041992,uniform,random,True
11,1,167811.70909843428,998,random_solution,500,0.004332065582275391,uniform,random,True
12,0,168118.90231311956,1180,random_solution,600,0.006261110305786133,uniform,random,True
13,1,167893.1916847367,1100,random_solution,600,0.0044078826904296875,uniform,random,True
14,0,168208.6942547605,1364,random_solution,700,0.004596233367919922,uniform,random,True
15,1,168057.7367164573,1444,random_solution,700,0.0051000118255615234,uniform,random,True
16,0,168311.39686570253,1541,random_solution,800,0.0062029361724853516,uniform,random,True
17,1,168119.46741688382,1525,random_solution,800,0.004569053649902344,uniform,random,True
18,0,168423.22094270555,1754,random_solution,900,0.005689859390258789,uniform,random,True
19,1,168364.14224686648,1798,random_solution,900,0.005528688430786133,uniform,random,True
20,0,168496.78376807293,1943,random_solution,1000,0.005904197692871094,uniform,random,True
21,1,168438.71203225513,1895,random_solution,1000,0.004800081253051758,uniform,random,True
0,0,167736.23264272584,1,random_solution,1,0.003843069076538086,polarized,random,False
1,1,167463.42717398913,1,random_solution,1,0.004255056381225586,polarized,random,False
2,0,167555.52537108172,221,random_solution,100,0.0038220882415771484,polarized,random,False
3,1,167024.58323912031,230,random_solution,100,0.004283905029296875,polarized,random,False
4,0,167576.83776852887,426,random_solution,200,0.004102945327758789,polarized,random,False
5,1,167684.98737113414,382,random_solution,200,0.0046329498291015625,polarized,random,False
6,0,167811.73370571577,623,random_solution,300,0.004400968551635742,polarized,random,False
7,1,167939.54930105057,606,random_solution,300,0.005300045013427734,polarized,random,False
8,0,167703.51900732907,848,random_solution,400,0.004084110260009766,polarized,random,False
9,1,167682.59865116765,779,random_solution,400,0.004154682159423828,polarized,random,False
10,0,168040.47922310734,1008,random_solution,500,0.00442814826965332,polarized,random,False
11,1,167920.64234325863,958,random_solution,500,0.006325960159301758,polarized,random,False
12,0,168355.7358361202,1208,random_solution,600,0.0048372745513916016,polarized,random,False
13,1,168193.04977453995,1176,random_solution,600,0.00518345832824707,polarized,random,False
14,0,168215.12208125557,1396,random_solution,700,0.004365682601928711,polarized,random,False
15,1,168023.9596413533,1462,random_solution,700,0.005630970001220703,polarized,random,False
16,0,168330.40728654613,1524,random_solution,800,0.005124807357788086,polarized,random,False
17,1,168214.37923574462,1574,random_solution,800,0.005385875701904297,polarized,random,False
18,0,168363.09926875125,1862,random_solution,900,0.0045359134674072266,polarized,random,False
19,1,168652.51011179513,1755,random_solution,900,0.006645917892456055,polarized,random,False
20,0,168504.26674371425,1983,random_solution,1000,0.0048329830169677734,polarized,random,False
21,1,168463.20923592924,1959,random_solution,1000,0.004648923873901367,polarized,random,False
0,0,167273.24554560997,1,random_solution,1,0.004271268844604492,polarized,random,True
1,1,167232.1962434573,1,random_solution,1,0.004271030426025391,polarized,random,True
2,0,167616.42463386134,200,random_solution,100,0.005239725112915039,polarized,random,True
3,1,168137.29744319996,163,random_solution,100,0.004187822341918945,polarized,random,True
4,0,167380.13319289047,430,random_solution,200,0.004728078842163086,polarized,random,True
5,1,167622.71797965927,409,random_solution,200,0.004565000534057617,polarized,random,True
6,0,167977.99367835344,609,random_solution,300,0.004058122634887695,polarized,random,True
7,1,167696.44360588482,571,random_solution,300,0.005516767501831055,polarized,random,True
8,0,167863.93750765448,840,random_solution,400,0.004759073257446289,polarized,random,True
9,1,167739.59927782958,739,random_solution,400,0.0042302608489990234,polarized,random,True
10,0,168521.47490604088,1040,random_solution,500,0.004971981048583984,polarized,random,True
11,1,167573.75221501244,958,random_solution,500,0.005032777786254883,polarized,random,True
12,0,167831.8676170716,1168,random_solution,600,0.005160808563232422,polarized,random,True
13,1,168212.6084234492,1202,random_solution,600,0.004617929458618164,polarized,random,True
14,0,168663.70905639674,1334,random_solution,700,0.0057528018951416016,polarized,random,True
15,1,168256.06412719475,1339,random_solution,700,0.00599980354309082,polarized,random,True
16,0,168009.19494106225,1588,random_solution,800,0.006312131881713867,polarized,random,True
17,1,168169.19337611433,1519,random_solution,800,0.004704952239990234,polarized,random,True
18,0,168448.55105571126,1749,random_solution,900,0.005872011184692383,polarized,random,True
19,1,168045.28980743006,1756,random_solution,900,0.006524085998535156,polarized,random,True
20,0,168303.33212689162,2059,random_solution,1000,0.005992889404296875,polarized,random,True
21,1,168350.41737958416,1815,random_solution,1000,0.005466938018798828,polarized,random,True
